experimental_dataset	reference_dataset	comparison_type	report
NA12878_octopus_2020	GIAB_HG001_GRCh37	SNV	control_validation_NA12878
NA12878_octopus_2020	GIAB_HG001_NA12878_GRCh37_NIST	SNV	control_validation_NA12878
NA12878_GRCh37-1	GIAB_HG001_NA12878_GRCh37_NIST	SNV	control_validation_NA12878,control_validation
NA12878_GRCh37-2	GIAB_HG001_NA12878_GRCh37_NIST	SNV	control_validation_NA12878,control_validation
NA12878_GRCh37-3	GIAB_HG001_NA12878_GRCh37_NIST	SNV	control_validation_NA12878,control_validation
NA12878_GRCh37-4	GIAB_HG001_NA12878_GRCh37_NIST	SNV	control_validation_NA12878,control_validation
NA12878_GRCh37-5	GIAB_HG001_NA12878_GRCh37_NIST	SNV	control_validation_NA12878,control_validation
NA12878_GRCh37-6	GIAB_HG001_NA12878_GRCh37_NIST	SNV	control_validation_NA12878,control_validation
NA12878_GRCh37-7	GIAB_HG001_NA12878_GRCh37_NIST	SNV	control_validation_NA12878,control_validation
NA12878_GRCh37-8	GIAB_HG001_NA12878_GRCh37_NIST	SNV	control_validation_NA12878,control_validation
NA12878_GRCh37-9	GIAB_HG001_NA12878_GRCh37_NIST	SNV	control_validation_NA12878,control_validation
NA12878_GRCh37-10	GIAB_HG001_NA12878_GRCh37_NIST	SNV	control_validation_NA12878,control_validation
NA12878_GRCh37-11	GIAB_HG001_NA12878_GRCh37_NIST	SNV	control_validation_NA12878,control_validation
NA24385_GRCh37-1	GIAB_HG002_NA24385_GRCh37_NIST	SNV	control_validation_NA24385,control_validation
NA24385_GRCh37-2	GIAB_HG002_NA24385_GRCh37_NIST	SNV	control_validation_NA24385,control_validation
NA24385_GRCh37-3	GIAB_HG002_NA24385_GRCh37_NIST	SNV	control_validation_NA24385,control_validation
NA24385_GRCh37-4	GIAB_HG002_NA24385_GRCh37_NIST	SNV	control_validation_NA24385,control_validation
NA24385_GRCh37-5	GIAB_HG002_NA24385_GRCh37_NIST	SNV	control_validation_NA24385,control_validation
NA24385_GRCh37-6	GIAB_HG002_NA24385_GRCh37_NIST	SNV	control_validation_NA24385,control_validation
NA24385_GRCh37-7	GIAB_HG002_NA24385_GRCh37_NIST	SNV	control_validation_NA24385,control_validation
NA24385_GRCh37-8	GIAB_HG002_NA24385_GRCh37_NIST	SNV	control_validation_NA24385,control_validation
NA24149_GRCh37-1	GIAB_HG003_NA24149_GRCh37_NIST	SNV	control_validation_NA24149,control_validation
NA24143_GRCh37-1	GIAB_HG004_NA24143_GRCh37_NIST	SNV	control_validation_NA24143,control_validation
NA24631_GRCh37-1	GIAB_HG005_NA24631_GRCh37_NIST	SNV	control_validation_NA24631,control_validation
NA24694_GRCh37-1	GIAB_HG006_NA24694_GRCh37_NIST	SNV	control_validation_NA24694,control_validation
NA24695_GRCh37-1	GIAB_HG007_NA24695_GRCh37_NIST	SNV	control_validation_NA24695,control_validation
